Designator,Mid X,Mid Y,Rotation,Layer
C1,71.35,-140.75,270,top
C10,204.625,-110.5375,90,top
C11,69.525,-87.75,90,top
C14,200.175,-136.425,270,top
C16,154.05,-97.25,180,top
C18,154.05,-99.975,180,top
C19,149.125,-100.15,0,top
C2,211.28,-120.32,90,top
C20,149.075,-97.7,0,top
C3,162.19,-120.61,90,top
C4,164.76,-120.65,90,top
C5,133.02,-126.38,270,top
C6,130.72,-126.21,270,top
C7,140.0075,-128.41,180,top
C8,194.27,-120.56,270,top
C9,139.99,-130.75,180,top
D1,145.6825,-121.1,0,top
D2,145.05,-102.53,180,top
D4,155.02,-129.97,90,top
D5,143.065,-133.01,0,top
D7,148.775,-94.05,180,top
J1,154.525,-121.4,180,top
J10,165.75,-94.55,0,top
J11,170.57,-109.4,180,top
J2,132.755,-108.3,0,top
J3,209.56,-99.18,90,top
J4,208.65,-130.49,90,top
J5,240.9,-117.51,90,top
J6,219.575,-117.51,90,top
J7,230.62,-126.945,270,top
J8,230.625,-108.77,90,top
J9,152.6,-138.575,0,top
MK1,207.8875,-120.26,90,top
MK2,74.7375,-140.59,270,top
MK3,208.0375,-110.465,270,top
MK4,73.025,-87.733,90,top
Q1,174.9,-101.8625,90,top
R1,151,-126.39,0,top
R10,174.9,-97.75,180,top
R11,196.72,-120.6,270,top
R12,145.97,-132.04,270,top
R13,176.825,-105.65,180,top
R15,145.125,-95.125,90,top
R2,157.75,-126.3,180,top
R20,167.77,-138.275,180,top
R3,78.075,-140.675,270,top
R4,204.65,-120.325,90,top
R6,135.4,-103.51,180,top
R7,130.27,-103.7,0,top
R8,211.2,-110.6,270,top
R9,76.375,-87.8,90,top
SW1,194.725,-135.9,90,top
SW2,187.5441,-92.21255,180,top
U1,180.18,-128.24,0,top
U2,151.025,-107.375,90,top
U3,139.2,-121.21,270,top
